State	District	Market	Commodity	Variety
Andhra Pradesh	Anantapur	Anantapur	Mousambi(Sweet Lime)	Mousambi
Andhra Pradesh	Chittor	Kalikiri	Tomato	Hybrid
Andhra Pradesh	Chittor	Punganur	Tomato	Hybrid
Andhra Pradesh	Chittor	Tirupati	Banana	Bhushavali(Pacha)
Andhra Pradesh	East Godavari	Ravulapelem	Banana	Amruthapani
Andhra Pradesh	East Godavari	Ravulapelem	Banana	Chakkarakeli(Red)
Andhra Pradesh	Guntur	Duggirala	Turmeric	Bulb
Andhra Pradesh	Guntur	Duggirala	Turmeric	Finger
Andhra Pradesh	Guntur	Pidugurala(Palnadu)	Dry Chillies	Red
Chandigarh	Chandigarh	Chandigarh(Grain/Fruit)	Bitter gourd	Bitter Gourd
Chandigarh	Chandigarh	Chandigarh(Grain/Fruit)	Brinjal	Other
Chandigarh	Chandigarh	Chandigarh(Grain/Fruit)	Cucumbar(Kheera)	Other
Chandigarh	Chandigarh	Chandigarh(Grain/Fruit)	Onion	Other
Gujarat	Ahmedabad	Ahmedabad	Banana - Green	Other
Gujarat	Ahmedabad	Ahmedabad	Elephant Yam (Suran)	Other
Gujarat	Ahmedabad	Ahmedabad	Lemon	Other
Gujarat	Ahmedabad	Ahmedabad	Pumpkin	Other
Gujarat	Ahmedabad	Viramgam	Cummin Seed(Jeera)	Other
Gujarat	Amreli	Damnagar	Cauliflower	Cauliflower
Gujarat	Anand	Khambhat(Veg Yard Khambhat)	Guar	Other
Gujarat	Anand	Khambhat(Veg Yard Khambhat)	Tinda	Other
